id;name_customer;age_customer;address_customer;numberphone_customer
1;Assistant;9112;heuristic program;63267
2;Bedfordshire Rustic;88056;pricing;29113
3;auxiliary experiences;19477;Consultant Iceland;63280
4;multi-byte;43816;Ball full-range;68188
5;Directives Soft Implementation;97585;Gorgeous copying;9978
6;bypass California Spurs;96995;copying;30600
7;Tennessee Handmade violet;9251;Small Renminbi plum;77121
8;multi-tasking Investment Electronics;18225;benchmark invoice Tuna;47201
9;COM connect;69599;FTP Concrete;73280
10;Refined Cameroon architectures;57019;AGP;19489
