id;name_staff;age_staff;address_staff;numberphone_staff
1;e-enable Cotton;39140;sexy parsing;89747
2;Jewelery;56194;Central;58030
3;users;833;user-centric Row secured;48582
4;green Dominica Swedish;22564;optical JBOD Regional;85006
5;Alabama;85453;firmware bricks-and-clicks;54276
6;plug-and-play withdrawal;34124;world-class Minnesota;75600
7;Jewelery;94209;Lead e-tailers bus;29317
8;bandwidth-monitored 24/7 Fresh;77723;Analyst methodologies gold;86837
9;Chips;42034;Toys;32022
10;copy Campuchia Chief;52768;exploit;38805
